2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 148
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 149
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 150
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 151
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 152
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 153
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 154
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 155
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 156
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 157
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 158
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 159
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 160
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 161
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 162
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 163
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 164
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 165
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 166
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 167
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 168
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 169
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 170
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 171
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 172
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 173
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 174
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 175
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 176
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 177
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 178
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 179
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 180
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 181
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 182
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 183
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 184
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 185
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 186
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 187
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 188
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 189
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 190
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 191
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 192
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 193
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 194
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 195
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 196
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 197
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 198
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 199
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 200
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 201
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 202
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 203
